"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-7-14","11,768.40","11,637.18","11,801.11","11,488.27","204.76M","0.34%"
"2022-7-13","11,728.53","11,523.91","11,819.69","11,498.96","204.07M","-0.14%"
"2022-7-12","11,744.99","11,926.84","11,990.44","11,684.02","208.96M","-0.97%"
"2022-7-11","11,860.28","12,008.76","12,026.06","11,830.89","198.97M","-2.19%"
"2022-7-8","12,125.69","11,977.95","12,179.32","11,956.03","175.25M","0.14%"
"2022-7-7","12,109.05","11,913.73","12,137.71","11,897.51","224.25M","2.16%"
"2022-7-6","11,852.59","11,807.08","11,941.31","11,727.36","205.56M","0.62%"
"2022-7-5","11,779.91","11,419.34","11,781.74","11,366.07","246.77M","1.68%"
"2022-7-1","11,585.68","11,472.63","11,592.85","11,378.63","223.73M","0.71%"
"2022-6-30","11,503.72","11,532.32","11,650.97","11,322.86","293.08M","-1.33%"
"2022-6-29","11,658.26","11,619.01","11,710.21","11,537.72","191.33M","0.18%"
"2022-6-28","11,637.77","12,021.34","12,133.87","11,633.13","244.75M","-3.09%"
"2022-6-27","12,008.24","12,157.93","12,175.98","11,965.67","218.40M","-0.81%"
"2022-6-24","12,105.85","11,826.95","12,112.82","11,812.18","428.18M","3.49%"
"2022-6-23","11,697.68","11,622.09","11,729.62","11,515.49","231.63M","1.47%"
"2022-6-22","11,527.71","11,427.74","11,708.08","11,423.20","240.32M","-0.16%"
"2022-6-21","11,546.76","11,446.99","11,638.47","11,446.99","277.58M","2.49%"
"2022-6-17","11,265.99","11,172.65","11,357.97","11,089.93","648.78M","1.24%"
"2022-6-16","11,127.57","11,286.87","11,311.05","11,037.21","326.71M","-4.02%"
"2022-6-15","11,593.77","11,468.13","11,751.30","11,346.54","285.50M","2.49%"
"2022-6-14","11,311.69","11,385.18","11,418.22","11,205.92","240.09M","0.21%"
"2022-6-13","11,288.32","11,472.19","11,568.65","11,254.18","341.06M","-4.60%"
"2022-6-10","11,832.82","12,052.59","12,082.69","11,825.35","283.02M","-3.56%"
"2022-6-9","12,269.78","12,543.37","12,666.41","12,265.86","224.67M","-2.74%"
"2022-6-8","12,615.13","12,682.81","12,776.65","12,578.55","196.52M","-0.76%"
"2022-6-7","12,711.67","12,456.49","12,737.30","12,413.56","191.80M","0.89%"
"2022-6-6","12,599.63","12,745.89","12,804.46","12,534.58","199.82M","0.41%"
"2022-6-3","12,548.02","12,650.39","12,724.81","12,505.76","218.94M","-2.67%"
