"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-3-23","13,922.60","13,990.35","14,152.14","13,921.65","961.73M","-1.32%"
"2022-3-22","14,108.82","13,866.43","14,141.07","13,857.29","1.10B","1.95%"
"2022-3-21","13,838.46","13,860.39","13,945.80","13,682.55","1.14B","-0.40%"
"2022-3-18","13,893.84","13,564.63","13,899.28","13,528.06","2.85B","2.05%"
"2022-3-17","13,614.78","13,360.72","13,620.80","13,317.14","1.14B","1.33%"
"2022-3-16","13,436.55","13,119.37","13,440.12","12,992.20","1.41B","3.77%"
"2022-3-15","12,948.62","12,685.23","12,973.88","12,616.59","1.13B","2.92%"
"2022-3-14","12,581.22","12,795.12","12,918.01","12,555.35","1.21B","-2.04%"
"2022-3-11","12,843.81","13,229.77","13,239.35","12,830.37","1.02B","-2.18%"
"2022-3-10","13,129.96","13,098.35","13,163.50","12,946.28","961.59M","-0.95%"
"2022-3-9","13,255.55","13,113.70","13,301.16","13,039.79","1.12B","3.59%"
"2022-3-8","12,795.55","12,800.04","13,159.44","12,670.08","1.34B","-0.28%"
"2022-3-7","12,830.96","13,328.36","13,353.28","12,828.02","1.29B","-3.62%"
"2022-3-4","13,313.44","13,455.23","13,486.71","13,224.98","1.04B","-1.66%"
"2022-3-3","13,537.94","13,837.59","13,837.59","13,472.64","1.03B","-1.56%"
"2022-3-2","13,752.02","13,597.53","13,796.55","13,493.91","1.03B","1.62%"
"2022-3-1","13,532.46","13,716.70","13,777.04","13,441.32","1.24B","-1.59%"
"2022-2-28","13,751.40","13,570.83","13,810.64","13,549.90","1.39B","0.41%"
"2022-2-25","13,694.62","13,485.26","13,696.86","13,358.29","978.45M","1.64%"
"2022-2-24","13,473.58","12,587.88","13,486.11","12,587.88","1.38B","3.34%"
"2022-2-23","13,037.49","13,511.75","13,533.78","13,032.17","944.40M","-2.57%"
"2022-2-22","13,381.52","13,424.36","13,618.71","13,249.65","1.02B","-1.23%"
"2022-2-18","13,548.07","13,735.40","13,762.40","13,465.56","1.02B","-1.23%"
"2022-2-17","13,716.72","14,004.19","14,020.82","13,704.70","922.82M","-2.88%"
"2022-2-16","14,124.09","14,038.92","14,163.73","13,931.99","838.99M","-0.11%"
"2022-2-15","14,139.76","13,997.18","14,142.49","13,976.29","903.09M","2.53%"
"2022-2-14","13,790.92","13,768.97","13,921.71","13,664.76","936.80M","0.00%"
"2022-2-11","13,791.15","14,213.62","14,246.70","13,733.16","1.08B","-2.78%"
"2022-2-10","14,185.64","14,228.68","14,509.56","14,118.20","1.06B","-2.10%"
"2022-2-9","14,490.37","14,368.16","14,490.72","14,330.87","935.01M","2.08%"
"2022-2-8","14,194.46","13,984.43","14,226.48","13,934.78","865.50M","1.28%"
"2022-2-7","14,015.67","14,118.79","14,236.31","13,974.10","858.02M","-0.58%"
"2022-2-4","14,098.01","13,958.48","14,222.76","13,850.39","862.97M","1.58%"
"2022-2-3","13,878.82","14,045.83","14,207.88","13,851.75","945.51M","-3.74%"
"2022-2-2","14,417.55","14,494.47","14,504.82","14,264.65","1.00B","0.50%"
"2022-2-1","14,346.00","14,277.43","14,358.69","14,070.77","962.00M","0.75%"
"2022-1-31","14,239.88","13,812.19","14,242.90","13,767.71","1.24B","3.41%"
"2022-1-28","13,770.57","13,436.71","13,771.91","13,236.55","1.06B","3.13%"
